date,code,news_score,n_kw
2024-09-19,2492,0.1564,1
2024-09-19,3026,0.0,0
2024-09-19,2472,0.0,0
2024-09-19,3357,0.0,0
2024-09-19,5425,0.0,0
2024-09-19,2481,0.0,0
2024-09-19,3675,0.0,0
2024-09-19,8255,0.0,0
2024-09-19,8261,0.0,0
2024-09-20,2327,0.0,0
2024-09-20,2492,0.0,0
2024-09-20,3026,0.0,0
2024-09-20,2472,0.0,0
2024-09-20,3357,0.0,0
2024-09-20,5425,0.0,0
2024-09-20,2481,0.0,0
2024-09-20,3675,0.0,0
2024-09-20,8255,0.0,0
2024-09-20,8261,0.0,0
2024-09-23,2327,0.0,0
2024-09-23,2492,0.0,0
2024-09-23,3026,0.0,0
2024-09-23,2472,0.0,0
2024-09-23,3357,0.0,0
2024-09-23,5425,0.0,0
2024-09-23,2481,0.0,0
2024-09-23,3675,0.0,0
2024-09-23,8255,-0.0139,1
2024-09-23,8261,0.0,0
2024-09-24,2327,0.0,0
2024-09-24,2492,0.0,0
2024-09-24,3026,0.0,0
2024-09-24,2472,0.0,0
2024-09-24,3357,0.0,0
2024-09-24,5425,0.0,0
2024-09-24,2481,0.0,0
2024-09-24,3675,0.0,0
2024-09-24,8255,0.0,0
2024-09-24,8261,0.0,0
2024-09-25,2327,0.1361,3
2024-09-25,2492,0.1392,5
2024-09-25,3026,0.0,0
2024-09-25,2472,0.0,0
2024-09-25,3357,0.0,0
2024-09-25,5425,0.0,0
2024-09-25,2481,0.0,0
2024-09-25,3675,0.0,0
2024-09-25,8255,0.0,0
2024-09-25,8261,0.0,0
2024-09-26,2327,0.0501,3
2024-09-26,2492,0.1117,3
2024-09-26,3026,0.0,0
2024-09-26,2472,0.0,0
2024-09-26,3357,0.0,0
2024-09-26,5425,0.0,0
2024-09-26,2481,0.0,0
2024-09-26,3675,0.0,0
2024-09-26,8255,0.0,0
2024-09-26,8261,0.0,0
2024-09-27,2327,0.1239,5
2024-09-27,2492,0.0,0
2024-09-27,3026,0.0,0
2024-09-27,2472,0.0,0
2024-09-27,3357,0.0,0
2024-09-27,5425,0.0,0
2024-09-27,2481,-0.0631,3
2024-09-27,3675,0.0,0
2024-09-27,8255,0.0,0
2024-09-27,8261,0.0,0
2024-09-30,2327,-0.006,1
2024-09-30,2492,0.0,0
2024-09-30,3026,0.0,0
2024-09-30,2472,0.0,0
2024-09-30,3357,0.0,0
2024-09-30,5425,-0.0556,3
2024-09-30,2481,0.0,0
2024-09-30,3675,0.0,0
2024-09-30,8255,0.0,0
2024-09-30,8261,0.0,0
2024-10-01,2327,0.0,0
2024-10-01,2492,0.0,0
2024-10-01,3026,0.0,0
2024-10-01,2472,0.0,0
2024-10-01,3357,0.0,0
2024-10-01,5425,0.0,0
2024-10-01,2481,0.0,0
2024-10-01,3675,0.0,0
2024-10-01,8255,0.0,0
2024-10-01,8261,0.0,0
2024-10-04,2327,0.0,0
2024-10-04,2492,0.0,0
2024-10-04,3026,0.0,0
2024-10-04,2472,0.0,0
2024-10-04,3357,0.0,0
2024-10-04,5425,0.0,0
2024-10-04,2481,0.0,0
2024-10-04,3675,-0.1532,4
2024-10-04,8255,0.0,0
2024-10-04,8261,0.0,0
2024-10-07,2327,-0.006,1
2024-10-07,2492,0.0,0
2024-10-07,3026,-0.1115,2
2024-10-07,2472,0.0,0
2024-10-07,3357,0.0,0
2024-10-07,5425,0.0,0
2024-10-07,2481,0.0,0
2024-10-07,3675,0.0,0
2024-10-07,8255,0.0,0
2024-10-07,8261,0.0,0
2024-10-08,2327,-0.153,5
2024-10-08,2492,0.0,0
2024-10-08,3026,0.0,0
2024-10-08,2472,0.0,0
2024-10-08,3357,0.0,0
2024-10-08,5425,-0.1732,3
2024-10-08,2481,0.0,0
2024-10-08,3675,0.0,0
2024-10-08,8255,-0.1732,3
2024-10-08,8261,0.0,0
2024-10-09,2327,-0.2199,6
2024-10-09,2492,-0.1732,3
2024-10-09,3026,0.0,0
2024-10-09,2472,-0.1732,3
2024-10-09,3357,0.0,0
2024-10-09,5425,0.0,0
2024-10-09,2481,-0.1732,3
2024-10-09,3675,0.0,0
2024-10-09,8255,0.0,0
2024-10-09,8261,0.0,0
2024-10-11,2327,0.0,0
2024-10-11,2492,0.0,0
2024-10-11,3026,0.0,0
2024-10-11,2472,0.0,0
2024-10-11,3357,0.0,0
2024-10-11,5425,0.0,0
2024-10-11,2481,0.0,0
2024-10-11,3675,0.0,0
2024-10-11,8255,0.0,0
2024-10-11,8261,0.0,0
2024-10-14,2327,0.0,0
2024-10-14,2492,0.0,0
2024-10-14,3026,0.0,0
2024-10-14,2472,0.0,0
2024-10-14,3357,0.0,0
2024-10-14,5425,0.0,0
2024-10-14,2481,0.0,0
2024-10-14,3675,0.0,0
2024-10-14,8255,0.0,0
2024-10-14,8261,0.0,0
2024-10-15,2327,0.0,0
2024-10-15,2492,0.0,0
