date,method,n,accuracy,mae,mae_zero,good
2024-12-20,ridge_full,10,0.8,0.8209819440427782,0.9605626177404835,True
2024-12-23,ridge_full,10,0.2,1.749618447835589,1.5285077753521037,False
2024-12-24,ridge_full,10,0.5,1.2393213050248406,1.0738790900708606,False
2024-12-25,ridge_full,10,0.7,0.7825940739170402,0.8382998089695015,True
2024-12-26,ridge_full,10,0.2,1.6070567874926094,1.5421015337734612,False
2024-12-27,ridge_full,10,0.4,1.343993002879189,1.3962824662805995,False
2024-12-30,ridge_full,10,0.6,1.6769917752098955,1.6497711937690618,False
2024-12-31,ridge_full,10,0.7,0.6109631949252107,0.6228459937931929,True
2025-01-02,ridge_full,10,0.7,0.9123096829661259,1.0067953734152701,True
2025-01-03,ridge_full,10,0.4,0.9736475030156655,0.9628132749338514,False
2025-01-06,ridge_full,10,0.7,1.247281020171127,1.4025622339132893,False
2025-01-07,ridge_full,10,0.3,0.9415017578399937,0.632385667656552,False
2025-01-08,ridge_full,10,0.4,1.0785730931198017,0.9988712719502979,False
2025-01-09,ridge_full,10,0.7,3.4685821745658805,3.478734620989133,False
2025-01-10,ridge_full,10,0.7,0.9208087615833035,1.015156993602907,True
2025-01-13,ridge_full,10,0.5,3.0760448615740317,3.1690445594334924,False
2025-01-14,ridge_full,10,0.1,1.938271903794503,1.4801892361630165,False
2025-01-15,ridge_full,10,0.4,1.3145933399681606,1.2507903359543016,False
2025-01-16,ridge_full,10,0.4,1.701337597897561,1.5838578586094165,False
2025-01-17,ridge_full,10,0.4,1.410332641132339,1.404505240620728,False
2025-01-20,ridge_full,10,0.4,1.152575593308045,1.2893179464820181,False
2025-01-21,ridge_full,10,0.4,0.8723205523224571,1.0389593426197286,False
2025-01-22,ridge_full,10,0.7,0.8653983676415642,0.7850787014451621,False
2025-02-03,ridge_full,10,0.4,3.455927133588215,3.4038063607360245,False
2025-02-04,ridge_full,10,0.4,1.4310202441593154,1.570495002244964,False
2025-02-05,ridge_full,10,0.4,3.585552788994543,3.6109762684631797,False
2025-02-06,ridge_full,10,0.6,1.788632838289444,1.8224736027852817,False
2025-02-07,ridge_full,10,0.4,0.9815981761036378,0.7967090203880756,False
2025-02-10,ridge_full,10,0.6,0.8128565454419775,0.7826179762944674,False
2025-02-11,ridge_full,10,0.5,1.0156971923328981,0.8225465039658253,False
2025-02-12,ridge_full,10,0.7,0.45765350417082445,0.7810424793402881,True
2025-02-13,ridge_full,10,0.3,1.9043528961623555,1.7182509721484496,False
2025-02-14,ridge_full,10,0.5,1.170614019675408,1.2119396088743883,False
2025-02-17,ridge_full,10,0.7,0.49123015409340975,0.4474185657858265,False
2025-02-18,ridge_full,10,0.3,0.8514761293318411,0.679002276165126,False
2025-02-19,ridge_full,10,0.4,1.5418698352647253,1.466516219550893,False
2025-02-20,ridge_full,10,0.4,1.1428474738812304,1.1638966533587003,False
2025-02-21,ridge_full,10,0.5,1.2326322656851185,1.2497909561766818,False
2025-02-24,ridge_full,10,0.7,0.7861234837393096,0.8082885877956635,True
2025-02-25,ridge_full,10,0.8,1.028874486529576,1.2281881453561139,False
2025-02-26,ridge_full,10,0.7,1.0169149415525252,1.1054546942822419,False
2025-02-27,ridge_full,10,0.6,1.6145308445542859,1.6270880247831987,False
2025-03-03,ridge_full,10,0.8,2.771049143888084,2.9201436461381194,False
2025-03-04,ridge_full,10,0.2,1.5713238002447756,1.1863717667010532,False
2025-03-05,ridge_full,10,0.2,1.1529280087932174,0.967622429859808,False
2025-03-06,ridge_full,10,0.6,0.8140485645048422,0.8537198224026721,False
2025-03-07,ridge_full,10,0.5,1.321280552170536,1.283286692925527,False
2025-03-10,ridge_full,10,0.3,0.8934424839505917,0.7814627052410206,False
2025-03-11,ridge_full,10,0.6,1.741463231353471,1.7359172703266246,False
2025-03-12,ridge_full,10,0.4,1.959307771699299,1.7527187274338154,False
2025-03-13,ridge_full,10,0.0,2.287186402467891,2.0417083663116884,False
2025-03-14,ridge_full,10,0.1,1.2851338164782942,1.0804742060151729,False
2025-03-17,ridge_full,10,0.5,0.701081681849119,0.7695793812379359,False
2025-03-18,ridge_full,10,0.5,1.0105669727502211,1.052544077008718,False
2025-03-19,ridge_full,10,0.5,1.0075246150333443,0.921341477383173,False
2025-03-20,ridge_full,10,0.1,2.5242706116938245,2.3147769491940484,False
2025-03-21,ridge_full,10,0.4,0.5994913916317145,0.5447916238200656,False
2025-03-24,ridge_full,10,0.6,2.4013513451979214,2.470492823353534,False
