date,ticker,interval,lo_pct,hi_pct,actual_pct,width_pp,covered,interval_score
2026-09-02,2492.TW,50,-6.948216628644379,4.270697307202728,-3.1404958677686,11.218913935847107,True,11.218913935847107
2026-09-02,2492.TW,80_sigma20,-8.667696407019282,9.107543876349116,-3.1404958677686,17.775240283368397,True,17.775240283368397
2026-09-02,2492.TW,80_sigma5,-10.0,10.0,-3.1404958677686,20.0,True,20.0
2026-09-03,2492.TW,50,-7.11197023787523,4.258982948446519,-7.337883959044367,11.37095318632175,False,12.274608070998298
2026-09-03,2492.TW,80_sigma20,-8.844107751675905,9.121751909085573,-7.337883959044367,17.965859660761478,True,17.965859660761478
2026-09-03,2492.TW,80_sigma5,-10.0,10.0,-7.337883959044367,20.0,True,20.0
2026-09-04,2492.TW,50,-7.243578912407866,4.338259460122099,9.944751381215466,11.581838372529965,False,34.00780605690343
2026-09-04,2492.TW,80_sigma20,-9.012523790208027,9.239614625779316,9.944751381215466,18.252138415987343,False,25.303505970348848
2026-09-04,2492.TW,80_sigma5,-10.0,10.0,9.944751381215466,20.0,True,20.0
2026-09-07,2492.TW,50,-7.336541104428132,4.48444573890384,8.20770519262981,11.820986843331973,False,26.71402465823585
2026-09-07,2492.TW,80_sigma20,-9.178553875618348,9.45415907733954,8.20770519262981,18.63271295295789,True,18.63271295295789
2026-09-07,2492.TW,80_sigma5,-10.0,10.0,8.20770519262981,20.0,True,20.0
2026-09-08,2492.TW,50,-7.395174905609256,4.514153882812625,-1.393188854489169,11.909328788421881,True,11.909328788421881
2026-09-08,2492.TW,80_sigma20,-9.277829568606593,9.533842485171535,-1.393188854489169,18.81167205377813,True,18.81167205377813
2026-09-08,2492.TW,80_sigma5,-10.0,10.0,-1.393188854489169,20.0,True,20.0
2026-09-09,2492.TW,50,-7.46230870082649,4.373189981725538,0.3139717425431731,11.835498682552029,True,11.835498682552029
2026-09-09,2492.TW,80_sigma20,-9.321375791716944,9.386120264220606,0.3139717425431731,18.70749605593755,True,18.70749605593755
2026-09-09,2492.TW,80_sigma5,-10.0,10.0,0.3139717425431731,20.0,True,20.0
2026-09-10,2492.TW,50,-7.554358087041937,4.300871453741156,4.538341158059467,11.855229540783093,False,12.805108358056337
2026-09-10,2492.TW,80_sigma20,-9.412250504332926,9.323694214660074,4.538341158059467,18.735944718993,True,18.735944718993
2026-09-10,2492.TW,80_sigma5,-10.0,10.0,4.538341158059467,20.0,True,20.0
2026-08-31,3026.TW,50,-4.678775387237511,6.940411167571984,0.0,11.619186554809495,True,11.619186554809495
2026-08-31,3026.TW,80_sigma20,-7.127369691411513,9.201609422246474,0.0,16.328979113657986,True,16.328979113657986
2026-08-31,3026.TW,80_sigma5,-7.485586993177034,9.467099578448089,0.0,16.952686571625122,True,16.952686571625122
