ticker,method,coverage_target,n,days,coverage,width,interval_score
2492.TW,verified_original,0.5,2,2,1.0,12.335,12.335
2492.TW,verified_original,0.8,2,2,1.0,18.8465,18.8465
2492.TW,zero,0.5,45,45,0.5555555555555556,14.626629038455658,18.303994151595663
2492.TW,zero,0.8,45,45,0.8666666666666667,20.582996401549053,21.798012362907997
3026.TW,empirical_returns_60,0.5,45,45,0.5333333333333333,13.408120869698312,20.241560612524065
3026.TW,empirical_returns_60,0.8,45,45,0.8444444444444444,19.853781814472562,19.92562566985404
3026.TW,ridge_full,0.5,45,45,0.6,14.347363537353004,21.95388729722471
3026.TW,ridge_full,0.8,45,45,0.7777777777777778,23.705329502851857,28.509888365931445
3026.TW,ridge_price,0.5,45,45,0.5555555555555556,15.094008392052674,19.212606179716257
3026.TW,ridge_price,0.8,45,45,0.8222222222222222,20.858010659212148,22.669963295273853
3026.TW,verified_original,0.5,2,2,1.0,12.1445,12.1445
3026.TW,verified_original,0.8,2,2,1.0,16.773,16.773
3026.TW,zero,0.5,45,45,0.5555555555555556,15.539848096936066,18.539506730339554
3026.TW,zero,0.8,45,45,0.9111111111111111,21.39769810156026,21.871096970194916
3357.TWO,empirical_returns_60,0.5,45,45,0.6,7.136643809329256,10.973057119102084
3357.TWO,empirical_returns_60,0.8,45,45,0.8666666666666667,14.835057859064417,17.11292114450676
3357.TWO,ridge_full,0.5,45,45,0.6666666666666666,8.039596618858836,11.112451511729581
3357.TWO,ridge_full,0.8,45,45,0.9333333333333333,14.595339523416142,15.925464821646399
3357.TWO,ridge_price,0.5,45,45,0.6222222222222222,7.019087035145366,10.753709433908677
3357.TWO,ridge_price,0.8,45,45,0.8888888888888888,13.596072082227764,15.986953962790098
3357.TWO,verified_original,0.5,2,2,0.5,5.768,6.077377049180335
3357.TWO,verified_original,0.8,2,2,1.0,10.651,10.651
3357.TWO,zero,0.5,45,45,0.5555555555555556,6.7637969787524606,10.78849217849677
3357.TWO,zero,0.8,45,45,0.8888888888888888,13.20426072072344,15.552622880784757
3675.TWO,empirical_returns_60,0.5,45,45,0.7555555555555555,10.731441075129663,14.229725791187482
3675.TWO,empirical_returns_60,0.8,45,45,0.8888888888888888,19.618417274836688,19.662481936656697
3675.TWO,ridge_full,0.5,45,45,0.6888888888888889,9.794452859241982,13.082583581099136
3675.TWO,ridge_full,0.8,45,45,0.9555555555555556,17.167537777772367,19.089377321315904
3675.TWO,ridge_price,0.5,45,45,0.7333333333333333,9.129318536159518,12.758665315704222
3675.TWO,ridge_price,0.8,45,45,0.9333333333333333,17.189621695705984,18.907377661742586
3675.TWO,zero,0.5,45,45,0.6888888888888889,9.806424081368473,13.19133428240896
3675.TWO,zero,0.8,45,45,0.9111111111111111,17.073263080960537,18.75093642499659
5425.TWO,empirical_returns_60,0.5,45,45,0.7333333333333333,8.22997677648873,11.639998344015241
5425.TWO,empirical_returns_60,0.8,45,45,0.9111111111111111,18.754505896772887,19.0091284702168
5425.TWO,ridge_full,0.5,45,45,0.6666666666666666,9.261766419824948,11.68222704485616
5425.TWO,ridge_full,0.8,45,45,0.9111111111111111,16.811293102713574,18.203434813193407
5425.TWO,ridge_price,0.5,45,45,0.6888888888888889,8.086511098209701,10.804270731960614
5425.TWO,ridge_price,0.8,45,45,0.9333333333333333,15.079161649714178,16.255090514023355
5425.TWO,verified_original,0.5,2,2,0.5,5.0024999999999995,5.683109363374269
5425.TWO,verified_original,0.8,2,2,1.0,10.598,10.598
5425.TWO,zero,0.5,45,45,0.7111111111111111,7.186602802787841,10.517827271699224
5425.TWO,zero,0.8,45,45,0.9111111111111111,15.474507969458633,16.59202627505049
8255.TWO,empirical_returns_60,0.5,45,45,0.7333333333333333,5.460133453590452,7.367178527156942
8255.TWO,empirical_returns_60,0.8,45,45,0.9777777777777777,13.608506685536607,14.536039925478189
8255.TWO,ridge_full,0.5,45,45,0.6222222222222222,5.588739852683693,7.647414925298176
8255.TWO,ridge_full,0.8,45,45,0.9111111111111111,11.125438899947454,11.960716907048543
8255.TWO,ridge_price,0.5,45,45,0.6222222222222222,5.257220545130466,7.039173797940832
8255.TWO,ridge_price,0.8,45,45,0.8888888888888888,10.133475613390853,10.84927294841861
8255.TWO,verified_original,0.5,2,2,0.5,2.929,5.552104895104896
8255.TWO,verified_original,0.8,2,2,1.0,5.544,5.544
8255.TWO,zero,0.5,45,45,0.6,4.7180510848728225,6.857655906971486
8255.TWO,zero,0.8,45,45,0.8888888888888888,9.991483871910246,10.692589564463693
8261.TW,empirical_returns_60,0.5,45,45,0.7333333333333333,10.16291248389193,15.257970845675358
8261.TW,empirical_returns_60,0.8,45,45,0.8222222222222222,18.064359313976624,22.336668897486987
8261.TW,ridge_full,0.5,45,45,0.6666666666666666,11.18745453032366,15.150237701632957
8261.TW,ridge_full,0.8,45,45,0.8888888888888888,17.0434080121133,19.643779664667054
8261.TW,ridge_price,0.5,45,45,0.6888888888888889,11.439659487519814,14.303962213701807
8261.TW,ridge_price,0.8,45,45,0.8666666666666667,16.136049082957918,17.52555662834898
8261.TW,verified_original,0.5,2,2,0.0,4.327999999999999,17.062209944751384
8261.TW,verified_original,0.8,2,2,0.5,9.661999999999999,23.197524861878463
8261.TW,zero,0.5,45,45,0.5777777777777777,9.53355567750557,13.52515219400511
8261.TW,zero,0.8,45,45,1.0,17.9505458923853,17.9505458923853
