ticker,method,n,days,direction_accuracy,mae_pp,signal_rate,interval_n50,coverage50,width50_pp,interval_score50,interval_n80,coverage80,width80_pp,interval_score80
3675.TWO,frozen_full,45,45,0.5555555555555556,5.642239209043652,1.0,45,0.5777777777777777,11.860968418326138,18.91223449109763,45,0.8666666666666667,23.7900240811387,28.429676467421423
3675.TWO,history_median,45,45,0.5555555555555556,3.724326103967893,1.0,45,0.6888888888888889,9.832798104959485,13.158636876748671,45,0.9111111111111111,16.985160081999247,18.90745501164856
3675.TWO,ridge_full,45,45,0.37777777777777777,3.6823195358441936,1.0,45,0.7333333333333333,9.055391171104953,12.74781185377856,45,0.9333333333333333,17.05817643617471,18.9727394973465
3675.TWO,ridge_price,45,45,0.4444444444444444,3.7118984405268165,1.0,45,0.7333333333333333,9.129318536159518,12.758665315704224,45,0.9333333333333333,17.189621695705984,18.907377661742593
3675.TWO,ridge_strategy,45,45,0.37777777777777777,3.6823195358441927,1.0,45,0.7333333333333333,9.055391171104953,12.74781185377856,45,0.9333333333333333,17.058176436174705,18.9727394973465
3675.TWO,tree_full,45,45,0.4222222222222222,3.9951442792945095,1.0,45,0.6888888888888889,9.844270059297035,13.026958496250408,45,0.9111111111111111,17.7071393988951,19.519317811116128
3675.TWO,yesterday_full,45,45,0.4222222222222222,3.72507372299252,1.0,45,0.7333333333333333,9.173446544963564,12.8210882618259,45,0.9333333333333333,17.266094055230763,19.082366454621727
3675.TWO,zero,45,45,0.044444444444444446,3.7433062720973704,0.0,45,0.6888888888888889,9.806424081368473,13.19133428240896,45,0.9111111111111111,17.073263080960537,18.750936424996592
5425.TWO,frozen_full,45,45,0.5555555555555556,4.080583195860338,1.0,45,0.6444444444444445,9.724612790700709,13.896950574777112,45,0.8888888888888888,16.524222221431348,19.178237815146502
5425.TWO,history_median,45,45,0.0,3.264425058623215,0.0,45,0.7111111111111111,7.186602802787841,10.517827271699224,45,0.9111111111111111,15.474507969458633,16.59202627505049
5425.TWO,ridge_full,45,45,0.4444444444444444,3.2164071611803298,1.0,45,0.6888888888888889,8.082535296900037,10.905894432836675,45,0.9111111111111111,15.152420524958243,16.343515185652866
5425.TWO,ridge_price,45,45,0.4222222222222222,3.183660317719716,1.0,45,0.6888888888888889,8.086511098209701,10.804270731960614,45,0.9333333333333333,15.079161649714178,16.255090514023355
5425.TWO,ridge_strategy,45,45,0.4444444444444444,3.2164071611803298,1.0,45,0.6888888888888889,8.082535296900037,10.905894432836675,45,0.9111111111111111,15.152420524958243,16.343515185652866
5425.TWO,tree_full,45,45,0.5333333333333333,3.431053984017978,1.0,45,0.6888888888888889,8.391720493082557,11.786531032862435,45,0.9111111111111111,15.55224336750468,17.637605339707633
5425.TWO,yesterday_full,45,45,0.4222222222222222,3.2250291072829196,1.0,45,0.7111111111111111,8.279694927435656,11.124871984657203,45,0.9333333333333333,15.39039206000891,16.45539291226823
5425.TWO,zero,45,45,0.0,3.264425058623215,0.0,45,0.7111111111111111,7.186602802787841,10.517827271699224,45,0.9111111111111111,15.474507969458633,16.59202627505049
8255.TWO,frozen_full,45,45,0.4,2.966210813914889,1.0,45,0.5333333333333333,6.493858960059544,9.78166186330742,45,0.9111111111111111,12.627399481792397,13.482340716709885
8255.TWO,history_median,45,45,0.1111111111111111,2.165083707025094,0.0,45,0.6,4.7180510848728225,6.857655906971486,45,0.8888888888888888,9.991483871910246,10.692589564463693
8255.TWO,ridge_full,45,45,0.4888888888888889,2.095511937784037,1.0,45,0.6222222222222222,5.308374491662956,7.0827466996981965,45,0.8888888888888888,10.15349366438916,10.819069326871242
8255.TWO,ridge_price,45,45,0.4666666666666667,2.0890525582453723,1.0,45,0.6222222222222222,5.257220545130466,7.039173797940832,45,0.8888888888888888,10.133475613390853,10.84927294841861
8255.TWO,ridge_strategy,45,45,0.4888888888888889,2.095511937784037,1.0,45,0.6222222222222222,5.308374491662956,7.0827466996981965,45,0.8888888888888888,10.153493664389158,10.819069326871242
8255.TWO,tree_full,45,45,0.35555555555555557,2.5962895084051643,1.0,45,0.4888888888888889,5.259727188108321,7.798868389238953,45,0.9333333333333333,10.534087707647599,11.103490300249671
8255.TWO,yesterday_full,45,45,0.4666666666666667,2.104145898358383,1.0,45,0.6,5.223427922346916,7.035415445878423,45,0.8888888888888888,10.040642594566672,10.716662898260628
8255.TWO,zero,45,45,0.1111111111111111,2.165083707025094,0.0,45,0.6,4.7180510848728225,6.857655906971486,45,0.8888888888888888,9.991483871910246,10.692589564463693
8261.TW,frozen_full,45,45,0.6666666666666666,3.5700995984564234,1.0,45,0.8222222222222222,12.868901433402788,14.017696005984638,45,1.0,26.581294383242557,26.581294383242557
8261.TW,history_median,45,45,0.08888888888888889,4.156079141330878,0.0,45,0.5777777777777777,9.53355567750557,13.52515219400511,45,1.0,17.9505458923853,17.9505458923853
8261.TW,ridge_full,45,45,0.4,4.195806792327501,1.0,45,0.6888888888888889,11.474852467644716,14.342367800150694,45,0.8666666666666667,16.158706402397723,17.656291020523234
8261.TW,ridge_price,45,45,0.4,4.191704249652036,1.0,45,0.6888888888888889,11.439659487519814,14.303962213701807,45,0.8666666666666667,16.136049082957918,17.52555662834898
8261.TW,ridge_strategy,45,45,0.4,4.195806792327501,1.0,45,0.6888888888888889,11.474852467644716,14.342367800150697,45,0.8666666666666667,16.158706402397723,17.656291020523234
8261.TW,tree_full,45,45,0.35555555555555557,4.673269655734081,1.0,45,0.6222222222222222,10.666890077138934,14.973698901973805,45,0.9111111111111111,17.45343471805212,19.105871427131845
8261.TW,yesterday_full,45,45,0.4222222222222222,4.233253708373533,1.0,45,0.6666666666666666,11.701650795633304,14.651129848884262,45,0.8666666666666667,16.915228367224948,17.867522931922345
8261.TW,zero,45,45,0.08888888888888889,4.156079141330878,0.0,45,0.5777777777777777,9.53355567750557,13.52515219400511,45,1.0,17.9505458923853,17.9505458923853
