date,mae_new,accuracy_new,mae_old,accuracy_old,historical_advantage_pp,use_new,selected_mae
2024-07-19,2.8572378962228244,0.7,2.9160931723507684,0.6,0.0010944293870318756,True,2.8572378962228244
2024-07-22,3.565332754194242,0.4,3.7448579661452355,0.2,0.0030271628690768217,True,3.565332754194242
2024-07-23,1.1893913779518506,0.3,0.9626738107283085,0.4,0.011683517071433497,True,1.1893913779518506
2024-07-26,3.547312737680568,0.2,3.5454943576398703,0.2,-0.0020342382950633508,False,3.5454943576398703
2024-07-29,1.9835178659093287,0.8,2.0190222634763293,0.7,-0.0004375650395730679,False,2.0190222634763293
2024-07-30,1.8773468472281596,0.5,1.7359467969258635,0.6,0.001252952783932365,True,1.8773468472281596
2024-07-31,2.025158063287583,0.4,1.9612898110346149,0.4,-0.0042403479897168365,False,1.9612898110346149
2024-08-01,2.2754597955340374,0.6,2.298270151627403,0.5,-0.009734380072440424,False,2.298270151627403
2024-08-02,3.9714813885675104,0.1,3.8803408943424555,0.1,7.654832058720529e-05,True,3.9714813885675104
2024-08-05,8.96251755062472,0.7,9.046209052104302,0.6,-0.004715444645985306,False,9.046209052104302
2024-08-06,3.338248479623565,0.6,1.9812790699007894,0.5,-0.004095400629313156,False,1.9812790699007894
2024-08-07,5.575066121421157,0.6,5.901460679009591,0.6,-0.07974723242564044,False,5.901460679009591
2024-08-08,2.9276452672654814,0.3,2.40360348969661,0.4,-0.06140891157803431,False,2.40360348969661
2024-08-09,2.780103603105156,0.3,2.5991730868210032,0.4,-0.08871224134518393,False,2.5991730868210032
2024-08-12,1.0420471911674851,0.9,1.0963618675193714,0.7,-0.09476717964621859,False,1.0963618675193714
2024-08-13,1.3321637431860065,0.4,1.4226079783096954,0.4,-0.09346183758085405,False,1.4226079783096954
2024-08-14,1.224530531612899,0.5,1.3358277372044325,0.4,-0.08472623781286101,False,1.3358277372044325
2024-08-15,0.5396009088500332,0.7,0.5577182721142326,0.6,-0.0795840679975646,False,0.5577182721142326
2024-08-16,1.5707517407611207,0.4,1.5809743747872465,0.4,-0.0810478010774675,False,1.5809743747872465
2024-08-19,0.5391900606156474,0.8,0.5879585753364286,0.8,-0.07879193009089354,False,0.5879585753364286
2024-08-20,1.0243819761225033,0.5,1.0396026293722318,0.5,-0.07734702588674114,False,1.0396026293722318
2024-08-21,1.0152859269593293,0.4,1.0103007684437353,0.4,-0.0795287570306519,False,1.0103007684437353
2024-08-22,2.035326663784368,0.2,2.0263740576623492,0.2,-0.08875427555398128,False,2.0263740576623492
2024-08-23,0.8047139569551263,0.5,0.7869399207297209,0.7,-0.07786602749890512,False,0.7869399207297209
2024-08-26,1.1640937130042674,0.4,1.1633673124870192,0.4,-0.07866381030814051,False,1.1633673124870192
2024-08-27,0.6559410555364057,0.6,0.653492158893612,0.6,-0.08047535021235294,False,0.653492158893612
2024-08-28,0.6337638448466358,0.6,0.630873388940995,0.6,-0.07352779252937783,False,0.630873388940995
2024-08-29,0.627832026369496,0.9,0.6353189144508754,0.9,-0.07047890271201146,False,0.6353189144508754
2024-08-30,0.9972716390418105,0.2,1.0090882590423547,0.2,-0.07124507611261079,False,1.0090882590423547
2024-09-02,0.7924532721087555,0.4,0.7850170688616076,0.4,-0.06609722040133081,False,0.7850170688616076
2024-09-03,1.5593213687662923,0.6,1.5606460513868405,0.6,-0.07065360563766737,False,1.5606460513868405
2024-09-04,4.581438620994454,0.7,4.621896857848479,0.6,-0.0027389010205011834,False,4.621896857848479
2024-09-05,1.4601082370280731,0.6,1.5142184544309618,0.5,-0.017035717057221643,False,1.5142184544309618
2024-09-06,1.2388918772365236,0.5,1.2603312562038962,0.5,0.011871882691366364,True,1.2388918772365236
