Date,Close,High,Low,Open,Volume
2025-04-03,16550.609375,16889.33984375,16533.0390625,16790.529296875,9461330000
2025-04-04,15587.7900390625,16128.16015625,15575.6796875,16045.599609375,11038180000
2025-04-07,15603.259765625,16292.2802734375,14784.0302734375,14978.0302734375,12483580000
2025-04-08,15267.91015625,16316.509765625,15053.3896484375,16181.0400390625,10496650000
2025-04-09,17124.970703125,17202.939453125,15270.2802734375,15295.4404296875,13479740000
2025-04-10,16387.310546875,16712.369140625,15894.26953125,16635.44921875,11861670000
2025-04-11,16724.4609375,16753.41015625,16228.0400390625,16358.5302734375,9444890000
2025-04-14,16831.48046875,17136.560546875,16661.259765625,17120.439453125,9667260000
2025-04-15,16823.169921875,16979.9609375,16753.220703125,16842.390625,7483050000
2025-04-16,16307.16015625,16600.369140625,16066.4599609375,16499.689453125,7909190000
2025-04-17,16286.4501953125,16408.509765625,16181.169921875,16399.970703125,7046290000
2025-04-21,15870.900390625,16066.7900390625,15685.330078125,16052.759765625,6678730000
2025-04-22,16300.419921875,16410.560546875,16038.73046875,16079.9404296875,6981900000
2025-04-23,16708.05078125,17029.859375,16642.66015625,16880.2890625,8564870000
2025-04-24,17166.0390625,17174.349609375,16744.970703125,16754.759765625,7607400000
2025-04-25,17382.939453125,17404.490234375,17110.720703125,17182.109375,7412930000
2025-04-28,17366.130859375,17467.349609375,17128.7109375,17390.9296875,10313290000
2025-04-29,17461.3203125,17500.419921875,17256.19921875,17270.759765625,13001930000
2025-04-30,17446.33984375,17483.8203125,16959.529296875,17099.98046875,8595330000
2025-05-01,17710.740234375,17922.830078125,17688.109375,17793.140625,8409690000
2025-05-02,17977.73046875,18048.830078125,17812.0390625,17868.759765625,8180190000
2025-05-05,17844.240234375,17965.640625,17792.080078125,17817.009765625,7075320000
2025-05-06,17689.66015625,17830.349609375,17592.880859375,17623.2109375,6958220000
2025-05-07,17738.16015625,17820.2890625,17503.009765625,17706.830078125,7977870000
2025-05-08,17928.140625,18096.0,17776.0,17920.150390625,8500390000
2025-05-09,17928.919921875,18068.900390625,17853.83984375,18022.55078125,8835140000
2025-05-12,18708.33984375,18710.220703125,18472.7109375,18674.560546875,10717670000
2025-05-13,19010.08984375,19065.9609375,18745.5,18761.23046875,9242230000
2025-05-14,19146.810546875,19174.55078125,19023.609375,19074.720703125,11744820000
2025-05-15,19112.3203125,19207.220703125,18967.779296875,19031.240234375,10546350000
2025-05-16,19211.099609375,19213.419921875,19038.48046875,19151.5390625,10509820000
2025-05-19,19215.4609375,19227.220703125,18937.419921875,18937.419921875,13080030000
2025-05-20,19142.7109375,19186.689453125,19015.630859375,19132.060546875,9047100000
2025-05-21,18872.640625,19241.41015625,18799.19921875,19002.939453125,11112460000
2025-05-22,18925.740234375,19061.109375,18840.33984375,18888.05078125,8289710000
2025-05-23,18737.2109375,18841.51953125,18599.689453125,18622.380859375,8730370000
2025-05-27,19199.16015625,19210.94921875,18961.689453125,19014.439453125,8927760000
2025-05-28,19100.939453125,19276.830078125,19084.380859375,19232.619140625,8087530000
2025-05-29,19175.869140625,19389.390625,19091.5390625,19389.390625,11016850000
2025-05-30,19113.76953125,19157.779296875,18847.740234375,19131.220703125,9042260000
2025-06-02,19242.609375,19252.7109375,18985.30078125,19063.060546875,7779940000
2025-06-03,19398.9609375,19459.279296875,19224.69921875,19288.66015625,7990230000
2025-06-04,19460.490234375,19493.44921875,19359.08984375,19434.939453125,7695660000
2025-06-05,19298.44921875,19610.509765625,19226.220703125,19518.19921875,8782360000
2025-06-06,19529.94921875,19593.1796875,19464.83984375,19526.990234375,7291590000
2025-06-09,19591.240234375,19637.560546875,19531.099609375,19573.140625,9538700000
2025-06-10,19714.990234375,19730.380859375,19539.08984375,19620.109375,11221560000
2025-06-11,19615.880859375,19800.4609375,19551.349609375,19779.359375,10214190000
2025-06-12,19662.490234375,19690.609375,19553.560546875,19578.869140625,16308730000
2025-06-13,19406.830078125,19591.869140625,19367.419921875,19450.9296875,9001850000
2025-06-16,19701.2109375,19733.310546875,19550.75,19550.75,9619130000
2025-06-17,19521.08984375,19666.560546875,19485.439453125,19627.080078125,8519930000
2025-06-18,19546.26953125,19660.76953125,19489.560546875,19526.919921875,7818790000
2025-06-20,19447.41015625,19696.109375,19380.580078125,19639.41015625,9969140000
2025-06-23,19630.970703125,19643.69921875,19334.98046875,19427.009765625,9088000000
2025-06-24,19912.529296875,19946.720703125,19795.2890625,19809.619140625,8330090000
2025-06-25,19973.55078125,20052.779296875,19918.080078125,20013.94921875,8256120000
2025-06-26,20167.91015625,20187.150390625,19982.48046875,20062.189453125,8383380000
2025-06-27,20273.4609375,20311.509765625,20095.05078125,20217.259765625,10951070000
2025-06-30,20369.73046875,20418.310546875,20266.359375,20360.150390625,8220420000
2025-07-01,20202.890625,20339.05078125,20105.41015625,20290.609375,8631710000
2025-07-02,20393.130859375,20397.220703125,20181.740234375,20184.369140625,8378750000
2025-07-03,20601.099609375,20624.509765625,20480.220703125,20497.66015625,6177910000
2025-07-07,20412.51953125,20511.8203125,20323.01953125,20490.55078125,8345710000
2025-07-08,20418.4609375,20480.890625,20377.359375,20466.9296875,8437480000
2025-07-09,20611.33984375,20645.41015625,20486.380859375,20522.08984375,9978310000
2025-07-10,20630.66015625,20655.390625,20495.140625,20636.48046875,9781380000
2025-07-11,20585.529296875,20647.970703125,20509.75,20562.880859375,8135800000
2025-07-14,20640.330078125,20672.33984375,20492.630859375,20592.560546875,8010060000
2025-07-15,20677.80078125,20836.0390625,20670.580078125,20822.759765625,8399060000
2025-07-16,20730.490234375,20751.05078125,20507.060546875,20717.810546875,9056640000
2025-07-17,20885.650390625,20911.830078125,20735.55078125,20760.3203125,9994550000
2025-07-18,20895.650390625,20980.560546875,20846.119140625,20959.5703125,9354580000
2025-07-21,20974.1796875,21077.369140625,20957.439453125,20960.330078125,12046970000
2025-07-22,20892.689453125,20985.33984375,20750.900390625,20982.2109375,10583710000
