window,ticker,index,bucket,target,n,days,follow,mean_tw,correlation
all,2472.TW,sp500,big_down,gap,11,11,0.9090909090909091,-3.4811411497058615,0.5309168886683889
all,2472.TW,sp500,big_down,intraday,11,11,0.2727272727272727,0.9845400478241804,-0.13755597392200689
all,2481.TW,sox,up,close_to_close,361,361,0.5512465373961218,0.7234910581092443,0.24006422271144212
all,2481.TW,sox,up,gap,361,361,0.8254847645429363,1.0881816271714198,0.4279827115985479
all,2481.TW,sox,up,intraday,361,361,0.37950138504155123,-0.3606407196247251,0.020441999984570244
all,2481.TW,sox,down,close_to_close,264,264,0.553030303030303,-0.6098175739053854,0.2890943238882288
all,2481.TW,sox,down,gap,264,264,0.4962121212121212,-0.38186040029060375,0.5771399356895801
all,2481.TW,sox,down,intraday,264,264,0.5378787878787878,-0.2252979714721573,-0.03334445963993983
all,2481.TW,sox,big_up,close_to_close,126,126,0.6031746031746031,1.2408162664726268,0.3391741716172935
all,2481.TW,sox,big_up,gap,126,126,0.9047619047619048,1.6513604103385766,0.48200713797808165
all,2481.TW,sox,big_up,intraday,126,126,0.373015873015873,-0.4031616428888224,0.024441897451679618
all,2481.TW,sox,big_down,close_to_close,97,97,0.6701030927835051,-1.5626317741845168,0.2179583538098894
all,2481.TW,sox,big_down,gap,97,97,0.7422680412371134,-1.347176561389468,0.5518378785185278
all,2481.TW,sox,big_down,intraday,97,97,0.5979381443298969,-0.21273183147662822,-0.11630142409443878
all,2481.TW,nasdaq,up,close_to_close,359,359,0.5793871866295265,0.8702951552790111,0.20759666142274685
all,2481.TW,nasdaq,up,gap,359,359,0.8189415041782729,1.0230419060920704,0.40164927694982183
all,2481.TW,nasdaq,up,intraday,359,359,0.415041782729805,-0.14943628666252923,0.0005281579064507179
all,2481.TW,nasdaq,down,close_to_close,266,266,0.5864661654135338,-0.7979230386419155,0.23117112191231326
all,2481.TW,nasdaq,down,gap,266,266,0.47368421052631576,-0.2828933178755269,0.4669365474505477
all,2481.TW,nasdaq,down,intraday,266,266,0.5827067669172933,-0.5113621704561178,-0.04793819468693567
all,2481.TW,nasdaq,big_up,close_to_close,32,32,0.75,2.4832306126378585,0.37051460018107885
all,2481.TW,nasdaq,big_up,gap,32,32,0.9375,2.3534838435650594,0.5874631364531895
all,2481.TW,nasdaq,big_up,intraday,32,32,0.40625,0.12962453001976254,-0.09496866235538876
all,2481.TW,nasdaq,big_down,close_to_close,34,34,0.7647058823529411,-2.954381242410512,0.30882317622583255
all,2481.TW,nasdaq,big_down,gap,34,34,0.8529411764705882,-2.412860017243268,0.6379201924847008
all,2481.TW,nasdaq,big_down,intraday,34,34,0.5882352941176471,-0.5306029254575142,-0.20485206744388257
all,2481.TW,sp500,up,close_to_close,352,352,0.5880681818181818,0.8223653449384272,0.22801526280607748
all,2481.TW,sp500,up,gap,352,352,0.8125,1.0221110911558378,0.39601442202212234
all,2481.TW,sp500,up,intraday,352,352,0.42329545454545453,-0.19636760080516807,0.03190745817039194
all,2481.TW,sp500,down,close_to_close,273,273,0.5824175824175825,-0.6933486042194535,0.26042739299293893
all,2481.TW,sp500,down,gap,273,273,0.46153846153846156,-0.2482076276728635,0.46293070269730774
all,2481.TW,sp500,down,intraday,273,273,0.5897435897435898,-0.44156984897346574,-0.015115900303240332
all,2481.TW,sp500,big_up,close_to_close,11,11,0.6363636363636364,2.0097382153984267,0.7706250288500058
all,2481.TW,sp500,big_up,gap,11,11,0.9090909090909091,2.603911830293049,0.8809003486468386
all,2481.TW,sp500,big_up,intraday,11,11,0.2727272727272727,-0.577666599385753,0.12928626446916686
all,2481.TW,sp500,big_down,close_to_close,11,11,0.9090909090909091,-3.7447814316050185,0.5022487910273473
all,2481.TW,sp500,big_down,gap,11,11,0.9090909090909091,-3.7294026647595984,0.5887790387965577
all,2481.TW,sp500,big_down,intraday,11,11,0.45454545454545453,0.04964131505588367,-0.14140354911275496
all,2492.TW,sox,up,close_to_close,361,361,0.5290858725761773,0.8305662869003166,0.2274832022468883
all,2492.TW,sox,up,gap,361,361,0.7922437673130194,1.0568921976099233,0.4068261931953989
all,2492.TW,sox,up,intraday,361,361,0.3878116343490305,-0.2237239800227791,0.0011038832994757872
all,2492.TW,sox,down,close_to_close,264,264,0.5378787878787878,-0.5772872381506526,0.28762521586567186
all,2492.TW,sox,down,gap,264,264,0.5416666666666666,-0.6791315625910631,0.5790353980703246
all,2492.TW,sox,down,intraday,264,264,0.49242424242424243,0.10449894001657677,-0.044294861621230856
all,2492.TW,sox,big_up,close_to_close,126,126,0.5952380952380952,1.5002560163576084,0.25775947115126835
all,2492.TW,sox,big_up,gap,126,126,0.8888888888888888,1.7104631892865487,0.48574269192511466
all,2492.TW,sox,big_up,intraday,126,126,0.42063492063492064,-0.2103651875662763,-0.02330719461363787
all,2492.TW,sox,big_down,close_to_close,97,97,0.6391752577319587,-1.813809321709414,0.13706744238948496
all,2492.TW,sox,big_down,gap,97,97,0.8144329896907216,-1.925170268001898,0.4607730677386739
all,2492.TW,sox,big_down,intraday,97,97,0.4948453608247423,0.12197840340582232,-0.144848051185247
all,2492.TW,nasdaq,up,close_to_close,359,359,0.5376044568245125,0.8980879001020171,0.2175220324695025
all,2492.TW,nasdaq,up,gap,359,359,0.7994428969359332,1.0544629211918355,0.3914665319918794
all,2492.TW,nasdaq,up,intraday,359,359,0.3955431754874652,-0.1556711934094945,0.008423518925306236
all,2492.TW,nasdaq,down,close_to_close,266,266,0.5526315789473685,-0.6578306670578274,0.23086240066549416
all,2492.TW,nasdaq,down,gap,266,266,0.556390977443609,-0.662800142461381,0.44675756035776326
all,2492.TW,nasdaq,down,intraday,266,266,0.5150375939849624,0.010185420338953213,-0.039602500415016596
all,2492.TW,nasdaq,big_up,close_to_close,32,32,0.75,2.6749899317606585,0.27966347106282063
all,2492.TW,nasdaq,big_up,gap,32,32,1.0,2.800017839695691,0.48478056786798907
all,2492.TW,nasdaq,big_up,intraday,32,32,0.4375,-0.09210125470708044,-0.049641079873351174
all,2492.TW,nasdaq,big_down,close_to_close,34,34,0.7647058823529411,-2.4906707932068364,0.17112734534052926
all,2492.TW,nasdaq,big_down,gap,34,34,0.8823529411764706,-2.5356870921765524,0.5312852076129917
all,2492.TW,nasdaq,big_down,intraday,34,34,0.47058823529411764,0.06742631053467034,-0.2705635337628299
all,2492.TW,sp500,up,close_to_close,352,352,0.5539772727272727,1.0023259282031427,0.17441615747351605
all,2492.TW,sp500,up,gap,352,352,0.8125,1.0549444541573794,0.36328726453994736
all,2492.TW,sp500,up,intraday,352,352,0.41761363636363635,-0.05075968374967211,-0.0289590437789679
all,2492.TW,sp500,down,close_to_close,273,273,0.575091575091575,-0.7523374653049968,0.1957436729569346
all,2492.TW,sp500,down,gap,273,273,0.5641025641025641,-0.6193886338837216,0.44063971677758446
all,2492.TW,sp500,down,intraday,273,273,0.5421245421245421,-0.1293378312965655,-0.07572138130164115
all,2492.TW,sp500,big_up,close_to_close,11,11,0.9090909090909091,2.1092156952726313,0.8769813341539513
all,2492.TW,sp500,big_up,gap,11,11,1.0,2.6115460590929827,0.887570294796786
all,2492.TW,sp500,big_up,intraday,11,11,0.36363636363636365,-0.4798458340154213,0.07046255048053635
all,2492.TW,sp500,big_down,close_to_close,11,11,0.9090909090909091,-2.7158886605117347,0.6146634194430992
all,2492.TW,sp500,big_down,gap,11,11,0.9090909090909091,-3.410761964110508,0.5340761632302151
all,2492.TW,sp500,big_down,intraday,11,11,0.36363636363636365,0.7834265715439053,-0.0547424577992279
all,3026.TW,sox,up,close_to_close,361,361,0.5318559556786704,0.855013110117292,0.20093641533936374
all,3026.TW,sox,up,gap,361,361,0.6149584487534626,0.8905530742386211,0.32824461855964965
all,3026.TW,sox,up,intraday,361,361,0.49584487534626037,-0.037125090335404835,-0.024581677251554676
all,3026.TW,sox,down,close_to_close,264,264,0.4734848484848485,-0.19389773299083454,0.14934075372044764
all,3026.TW,sox,down,gap,264,264,0.6098484848484849,-0.4827372327437915,0.37996261886918475
all,3026.TW,sox,down,intraday,264,264,0.4053030303030303,0.2929445157217201,-0.11521489463950475
all,3026.TW,sox,big_up,close_to_close,126,126,0.5634920634920635,1.1426403597503507,0.32917165166382145
all,3026.TW,sox,big_up,gap,126,126,0.6825396825396826,1.3855479510368016,0.4572995372849687
all,3026.TW,sox,big_up,intraday,126,126,0.4444444444444444,-0.2471850877242335,0.042918667010827936
all,3026.TW,sox,big_down,close_to_close,97,97,0.5463917525773195,-0.6893403774102852,0.08637451415098306
all,3026.TW,sox,big_down,gap,97,97,0.711340206185567,-1.1189328018139935,0.3535717296073306
all,3026.TW,sox,big_down,intraday,97,97,0.38144329896907214,0.4436850458929878,-0.2051311746168772
all,3026.TW,nasdaq,up,close_to_close,359,359,0.5431754874651811,0.8195422756744443,0.21011960189667714
all,3026.TW,nasdaq,up,gap,359,359,0.6016713091922006,0.8062581042961958,0.3079364879547138
all,3026.TW,nasdaq,up,intraday,359,359,0.4958217270194986,0.0109761198180928,0.0022153839017100435
all,3026.TW,nasdaq,down,close_to_close,266,266,0.4849624060150376,-0.13813889370061433,0.19271912656875903
all,3026.TW,nasdaq,down,gap,266,266,0.5939849624060151,-0.35864522212989863,0.33770065144718364
all,3026.TW,nasdaq,down,intraday,266,266,0.40977443609022557,0.22554423881487828,-0.03186525781938549
all,3026.TW,nasdaq,big_up,close_to_close,32,32,0.71875,2.637492685499137,0.2641586627935252
all,3026.TW,nasdaq,big_up,gap,32,32,0.84375,2.5115977184225167,0.3801339289274045
