date,ret1,ret5,ret20,vol20,range_pct,volume_ratio,twii,fx_lag,peer1_lag,peer2_lag,Date,Close,High,Low,Open,Volume,MA5,MA20,MA60,RSI,MACD,MACD_signal,MACD_hist,BB_upper,BB_mid,BB_lower,Volume_MA20,Volume_ratio,ATR,pct_change,usdtwd_pct,twii_pct,murata_pct,tdk_pct,previous_date,gap,intraday,close_to_close,us_session,us_close_utc,us_close_taipei,us_available_taipei,cutoff_taipei,previous_tw_date,new_us_sessions,us_age_hours,repeated_session,alignment_status,sox_last,sox_since_tw,nasdaq_last,nasdaq_since_tw,sp500_last,sp500_since_tw,on_last,on_since_tw,vsh_last,vsh_since_tw,ticker,valid_open,onsemi_pct,vishay_pct,original_prediction,original_error
2026-09-15,4.645760825654688,-2.489180750839748,0.22246601206632466,3.1079500044788952,8.435070591376311,0.7219995857226988,-0.6979172181896032,0.5434767453688316,8.50791132462254,6.13613970203668,2026-09-15,89.4000015258789,93.5999984741211,88.80000305175781,88.80000305175781,14748837,88.98000030517578,91.29500007629396,96.4754103342692,47.98722312739296,-0.3518763354726246,-0.0168633847916794,-0.3350129506809452,97.637994969788,91.29500007629396,84.9520051827999,17273086.8,0.8538622639237823,4.500694436744285,-0.7769111654793659,0.4665917444771184,-0.7653989654031412,,,2026-09-14,-1.4428362312754905,0.6756739341229334,-0.7769111654793659,2026-09-14,2026-09-14T20:00:00+00:00,2026-09-15T04:00:00+08:00,2026-09-15T05:00:00+08:00,2026-09-15T08:30:00+08:00,2026-09-14,1.0,4.5,False,ok,-5.858590380264717,-5.858590380264717,-0.5568248537587528,-0.5568248537587528,-0.48321923388043864,-0.48321923388043864,-5.897029025166978,-5.897029025166978,-7.256850086873101,-7.256850086873101,5425.TWO,True,-5.897029025166978,-7.256850086873101,,
2026-09-04,5.405405405405395,6.484641638225264,12.230215827338121,4.1535635536663404,7.6923076923076925,2.3568890461016085,-0.6651369315447186,-0.0410265349467753,-0.4267105044421182,3.307465914210028,2026-09-04,156.0,161.5,146.0,161.0,71276732,153.6,144.05,157.325,56.294005559584434,2.360744391518466,-0.1909604287843035,2.5517048203027697,159.66342202620902,144.05,128.436577973791,30600074.2,2.329299319150017,11.546869113700044,0.0,-0.0970802227241995,1.5122200906831251,,,2026-09-03,3.205128205128216,-3.105590062111796,0.0,2026-09-03,2026-09-03T20:00:00+00:00,2026-09-04T04:00:00+08:00,2026-09-04T05:00:00+08:00,2026-09-04T08:30:00+08:00,2026-09-03,1.0,4.5,False,ok,0.11358672586370133,0.11358672586370133,1.396875590614055,1.396875590614055,1.057963924661287,1.057963924661287,1.8109002686002684,1.8109002686002684,-0.5227089151055297,-0.5227089151055297,2481.TW,True,0.9911686522946715,4.43349558683217,,
2026-09-07,0.0,1.298701298701288,17.29323308270676,3.990334236480189,9.935897435897436,2.329299319150017,1.5122200906831251,0.1616444133621719,1.8109002686002684,-0.5227089151055297,2026-09-07,158.0,168.0,155.0,158.0,60360656,155.0,145.075,157.54166666666666,57.432055427958616,2.9105335998589226,0.4293383769443417,2.4811952229145806,161.54594730922437,145.075,128.6040526907756,33034849.8,1.827181184883123,11.74061989854004,1.2820512820512775,-0.2347342124136675,1.6651381893682204,,,2026-09-04,1.2820512820512775,0.0,1.2820512820512775,2026-09-04,2026-09-04T20:00:00+00:00,2026-09-05T04:00:00+08:00,2026-09-05T05:00:00+08:00,2026-09-07T08:30:00+08:00,2026-09-04,1.0,52.5,False,ok,3.3749603534097172,3.3749603534097172,-0.28991174002219733,-0.28991174002219733,-0.37572216084515997,-0.37572216084515997,0.9911686522946717,0.9911686522946717,4.43349558683217,4.43349558683217,2481.TW,True,0.9911686522946715,4.43349558683217,,
2026-09-08,1.2820512820512775,4.635761589403975,14.909090909090917,3.9482587455358735,8.227848101265822,1.827181184883123,1.6651381893682204,-0.0970802227241995,0.9911686522946715,4.43349558683217,2026-09-08,152.5,161.5,151.0,159.0,26392397,154.1,145.625,157.70833333333334,53.32027386096794,2.869365217791085,0.9173437451136904,1.9520214726773943,162.32632361600136,145.625,128.92367638399864,33147596.05,0.7962084779900652,11.575203912068035,-3.4810126582278444,-0.3671620448905233,-0.4658898396891597,,,2026-09-07,0.6329113924050667,-4.0880503144654075,-3.4810126582278444,2026-09-04,2026-09-04T20:00:00+00:00,2026-09-05T04:00:00+08:00,2026-09-05T05:00:00+08:00,2026-09-08T08:30:00+08:00,2026-09-07,0.0,76.5,True,ok,3.3749603534097172,0.0,-0.28991174002219733,0.0,-0.37572216084515997,0.0,0.9911686522946717,0.0,4.43349558683217,0.0,2481.TW,True,-4.436670535385956,-1.037735411977092,0.1605,3.6415126582278443
2026-09-09,-3.4810126582278444,-2.86624203821656,7.773851590106018,4.023891319702257,6.885245901639345,0.7962084779900652,-0.4658898396891597,-0.2347342124136675,0.9911686522946715,4.43349558683217,2026-09-09,152.0,159.5,150.0,153.5,23039514,154.9,146.275,157.90833333333333,52.94914339019136,2.764525428788744,1.2867800818487012,1.4777453469400428,162.90241870019725,146.275,129.64758129980277,33545224.65,0.6868194874348531,11.298510057125632,-0.3278688524590123,-0.0180897502252253,0.1646891802691508,,,2026-09-08,0.6557377049180246,-0.9771986970684043,-0.3278688524590123,2026-09-08,2026-09-08T20:00:00+00:00,2026-09-09T04:00:00+08:00,2026-09-09T05:00:00+08:00,2026-09-09T08:30:00+08:00,2026-09-08,1.0,4.5,False,ok,1.3004428927046563,1.3004428927046563,-0.32285852663127557,-0.32285852663127557,-0.5840447432778451,-0.5840447432778451,-4.4366705353859555,-4.4366705353859555,-1.037735411977092,-1.037735411977092,2481.TW,True,-0.1406844000352958,0.6990822432745514,0.0164,0.34426885245901234
2026-09-10,-0.3278688524590123,2.7027027027026973,9.35251798561152,3.9949163969474624,6.25,0.6868194874348531,0.1646891802691508,-0.3671620448905233,-4.436670535385956,-1.037735411977092,2026-09-10,154.5,159.0,150.0,152.0,42758225,154.6,146.85,158.05833333333334,54.64886233488907,2.850311629099849,1.5994863912989308,1.2508252378009184,163.7929382898843,146.85,129.9070617101157,33893926.35,1.261530592781264,10.992042049508882,1.6447368421052655,-0.1117492447464729,-0.5147388760934346,,,2026-09-09,0.0,1.6447368421052655,1.6447368421052655,2026-09-09,2026-09-09T20:00:00+00:00,2026-09-10T04:00:00+08:00,2026-09-10T05:00:00+08:00,2026-09-10T08:30:00+08:00,2026-09-09,1.0,4.5,False,ok,0.3655002526455897,0.3655002526455897,-0.636114088937989,-0.636114088937989,-0.48426479836394254,-0.48426479836394254,-0.1406844000352958,-0.1406844000352958,0.6990822432745514,0.6990822432745514,2481.TW,True,-1.141173780895799,-0.9496651966175108,,
2026-09-11,1.6447368421052655,-0.9615384615384581,8.041958041958042,3.966070238025714,5.825242718446602,1.261530592781264,-0.5147388760934346,-0.0180897502252253,-0.1406844000352958,0.6990822432745514,2026-09-11,150.0,157.0,149.0,151.0,27000650,153.4,147.45,157.89166666666668,51.072404772258,2.526066496818231,1.784802412402791,0.7412640844154401,163.91655302184228,147.45,130.9834469781577,34427597.75,0.784273424944382,10.593103109574365,-2.9126213592233,0.5434767453688316,-1.6097760087677493,,,2026-09-10,-2.265372168284785,-0.6622516556291425,-2.9126213592232997,2026-09-10,2026-09-10T20:00:00+00:00,2026-09-11T04:00:00+08:00,2026-09-11T05:00:00+08:00,2026-09-11T08:30:00+08:00,2026-09-10,1.0,4.5,False,ok,-2.6581332352022535,-2.6581332352022535,-0.6537040302163954,-0.6537040302163954,-0.5848292742657635,-0.5848292742657635,-1.141173780895799,-1.141173780895799,-0.9496651966175107,-0.9496651966175107,2481.TW,True,8.50791132462254,6.13613970203668,,
2026-09-14,-2.9126213592232997,-3.8461538461538436,8.695652173913038,3.937451844003235,5.333333333333334,0.784273424944382,-1.6097760087677493,-0.1117492447464729,-1.141173780895799,-0.9496651966175108,2026-09-14,159.0,164.0,146.0,148.0,60526524,153.6,148.175,157.60833333333332,57.117055699044144,2.9611899231296093,2.020079914548155,0.9411100085814544,165.356002360321,148.175,130.99399763967904,36321473.75,1.6664115673445106,11.580689361631118,6.000000000000005,0.1302375138906075,-0.6979172181896032,,,2026-09-11,-1.3333333333333308,7.432432432432434,6.000000000000005,2026-09-11,2026-09-11T20:00:00+00:00,2026-09-12T04:00:00+08:00,2026-09-12T05:00:00+08:00,2026-09-14T08:30:00+08:00,2026-09-11,1.0,52.5,False,ok,1.80667305142308,1.80667305142308,0.9635804410131898,0.9635804410131898,0.8598836028398171,0.8598836028398171,8.50791132462254,8.50791132462254,6.13613970203668,6.13613970203668,2481.TW,True,-5.897029025166978,-7.256850086873101,,
2026-09-15,6.000000000000005,0.6329113924050667,10.034602076124566,4.019910010329941,11.320754716981133,1.6664115673445106,-0.6979172181896032,0.5434767453688316,8.50791132462254,6.13613970203668,2026-09-15,153.5,163.5,152.0,158.0,58268363,153.8,148.875,156.94166666666666,52.822290295586285,2.8296063976113714,2.1819852111607982,0.6476211864505732,165.7050326797096,148.875,132.0449673202904,37142388.65,1.568783406718243,11.569930780080302,-3.459119496855345,0.4665917444771184,-0.7653989654031412,,,2026-09-14,-0.6289308176100628,-2.848101265822789,-3.459119496855345,2026-09-14,2026-09-14T20:00:00+00:00,2026-09-15T04:00:00+08:00,2026-09-15T05:00:00+08:00,2026-09-15T08:30:00+08:00,2026-09-14,1.0,4.5,False,ok,-5.858590380264717,-5.858590380264717,-0.5568248537587528,-0.5568248537587528,-0.48321923388043864,-0.48321923388043864,-5.897029025166978,-5.897029025166978,-7.256850086873101,-7.256850086873101,2481.TW,True,-5.897029025166978,-7.256850086873101,,
2026-09-04,1.0948920364063364,-0.5386003792130722,3.745319698040128,3.77027891906853,6.137184115523475,1.4270588051059527,-0.6651369315447186,-0.0410265349467753,-0.4267105044421182,3.307465914210028,2026-09-04,278.03515625,279.5140666555851,264.231992464539,277.0492159796099,873160,272.908251953125,271.3060989379883,303.61207326253253,52.1999579530099,-1.180548998910126,-3.71604301402039,2.535494015110264,285.8291157152475,271.3060989379883,256.78308216072907,940465.55,0.9284337953686872,15.401744936355264,1.805060364042532,-0.0970802227241995,1.5122200906831251,,,2026-09-03,1.4440495116877727,0.3558718861210064,1.8050603640425322,2026-09-03,2026-09-03T20:00:00+00:00,2026-09-04T04:00:00+08:00,2026-09-04T05:00:00+08:00,2026-09-04T08:30:00+08:00,2026-09-03,1.0,4.5,False,ok,0.11358672586370133,0.11358672586370133,1.396875590614055,1.396875590614055,1.057963924661287,1.057963924661287,1.8109002686002684,1.8109002686002684,-0.5227089151055297,-0.5227089151055297,3675.TWO,True,0.9911686522946715,4.43349558683217,,
2026-09-07,1.8050603640425322,1.6216237921589327,6.214697959857007,3.780576417852639,5.496453900709217,0.9284337953686873,1.5122200906831251,0.1616444133621719,1.8109002686002684,-0.5227089151055297,2026-09-07,278.03515625,285.9226784131206,275.5703055740248,279.5140666555851,988002,274.78154296875,271.3800445556641,303.1355356852213,52.1999579530099,-0.5804027693262128,-3.088914965081555,2.5085121957553422,286.03012024162103,271.3800445556641,256.72996886970714,934361.55,1.0574086658424675,14.728495323387332,0.0,-0.2347342124136675,1.6651381893682204,,,2026-09-04,0.5319148936170137,-0.5291005291005346,0.0,2026-09-04,2026-09-04T20:00:00+00:00,2026-09-05T04:00:00+08:00,2026-09-05T05:00:00+08:00,2026-09-07T08:30:00+08:00,2026-09-04,1.0,52.5,False,ok,3.3749603534097172,3.3749603534097172,-0.28991174002219733,-0.28991174002219733,-0.37572216084515997,-0.37572216084515997,0.9911686522946717,0.9911686522946717,4.43349558683217,4.43349558683217,3675.TWO,True,0.9911686522946715,4.43349558683217,,
2026-09-08,0.0,3.486247202324111,0.5347600664077579,3.570443648690976,3.7234042553191613,1.0574086658424675,1.6651381893682204,-0.0970802227241995,0.9911686522946715,4.43349558683217,2026-09-08,270.1476135253906,282.9648360649164,270.1476135253906,281.48592577189424,698159,273.8941955566406,271.45399017333983,302.4125127156576,48.4912583821436,-0.732794142762657,-2.6176908006177757,1.8848966578551185,286.06131027650343,271.45399017333983,256.84667007017623,938593.15,0.7438356011867335,14.473658952205795,-2.836886827907892,-0.3671620448905233,-0.4658898396891597,,,2026-09-07,1.241127046103263,-4.0280210157618175,-2.836886827907892,2026-09-04,2026-09-04T20:00:00+00:00,2026-09-05T04:00:00+08:00,2026-09-05T05:00:00+08:00,2026-09-08T08:30:00+08:00,2026-09-07,0.0,76.5,True,ok,3.3749603534097172,0.0,-0.28991174002219733,0.0,-0.37572216084515997,0.0,0.9911686522946717,0.0,4.43349558683217,0.0,3675.TWO,True,-4.436670535385956,-1.037735411977092,,
2026-09-09,-2.836886827907892,-1.6158011376392278,0.5504594867451695,3.5697881188903553,4.744525547445244,0.7438356011867335,-0.4658898396891597,-0.2347342124136675,0.9911686522946715,4.43349558683217,2026-09-09,267.6827697753906,274.0913812064773,266.6968295552234,267.6827697753906,327035,273.40122680664064,271.2568023681641,301.61554463704425,47.35889602567192,-1.0404638753096265,-2.3022454155561456,1.2617815402465191,285.96047342386254,271.2568023681641,256.5531313124656,935434.05,0.3496077569551803,13.529777978745544,-0.9124062647950516,-0.0180897502252253,0.1646891802691508,,,2026-09-08,-0.9124062647950515,0.0,-0.9124062647950515,2026-09-08,2026-09-08T20:00:00+00:00,2026-09-09T04:00:00+08:00,2026-09-09T05:00:00+08:00,2026-09-09T08:30:00+08:00,2026-09-08,1.0,4.5,False,ok,1.3004428927046563,1.3004428927046563,-0.32285852663127557,-0.32285852663127557,-0.5840447432778451,-0.5840447432778451,-4.4366705353859555,-4.4366705353859555,-1.037735411977092,-1.037735411977092,3675.TWO,True,-0.1406844000352958,0.6990822432745514,,
2026-09-10,-0.9124062647950515,-0.9124062647950515,-1.4519038929481365,3.5680778001520923,2.762430939226522,0.3496077569551803,0.1646891802691508,-0.3671620448905233,-4.436670535385956,-1.037735411977092,2026-09-10,265.2179260253906,272.6124778662472,265.2179260253906,268.17574676173325,361110,271.8237243652344,270.8131301879883,300.53101043701173,46.197122233605285,-1.4662842341391524,-2.135053179272747,0.6687689451335945,285.69113644095523,270.8131301879883,255.93512393502132,907083.15,0.3981002182655471,12.711747827027017,-0.9208077725989638,-0.1117492447464729,-0.5147388760934346,,,2026-09-09,0.18416463142407746,-1.1029411764705843,-0.9208077725989638,2026-09-09,2026-09-09T20:00:00+00:00,2026-09-10T04:00:00+08:00,2026-09-10T05:00:00+08:00,2026-09-10T08:30:00+08:00,2026-09-09,1.0,4.5,False,ok,0.3655002526455897,0.3655002526455897,-0.636114088937989,-0.636114088937989,-0.48426479836394254,-0.48426479836394254,-0.1406844000352958,-0.1406844000352958,0.6990822432745514,0.6990822432745514,3675.TWO,True,-1.141173780895799,-0.9496651966175108,,
2026-09-11,-0.9208077725989638,-2.888083173326894,-3.2374035036307203,3.566656238584421,2.7881040892193223,0.3981002182655471,-0.5147388760934346,-0.0180897502252253,-0.1406844000352958,0.6990822432745514,2026-09-11,255.3585205078125,262.2601021431588,252.4006998069498,259.3022814422961,544045,267.28839721679685,270.3941055297852,298.7316696166992,41.78188490802778,-2.5696996650045776,-2.221982476419113,-0.3477171885854644,286.5298897923632,270.3941055297852,254.2583212672072,896010.95,0.6071856599520352,12.725811612548858,-3.717473273897121,0.5434767453688316,-1.6097760087677493,,,2026-09-10,-2.23048444415036,-1.520912547528508,-3.7174732738971206,2026-09-10,2026-09-10T20:00:00+00:00,2026-09-11T04:00:00+08:00,2026-09-11T05:00:00+08:00,2026-09-11T08:30:00+08:00,2026-09-10,1.0,4.5,False,ok,-2.6581332352022535,-2.6581332352022535,-0.6537040302163954,-0.6537040302163954,-0.5848292742657635,-0.5848292742657635,-1.141173780895799,-1.141173780895799,-0.9496651966175107,-0.9496651966175107,3675.TWO,True,8.50791132462254,6.13613970203668,,
2026-09-14,-3.7174732738971206,-8.156031793978391,-3.1775705260234655,3.5634556865877585,3.8610038610038706,0.6071856599520352,-1.6097760087677493,-0.1117492447464729,-1.141173780895799,-0.9496651966175108,2026-09-14,280.5,280.5,252.4007029876977,254.3725834797891,1823993,267.7813659667969,269.9257843017578,296.7515731811524,53.88519788584812,-1.399326499895551,-2.057451281114401,0.6581247812188495,284.10730069722,269.9257843017578,255.7442679062956,940590.0,1.939200927077685,14.775609665849316,9.845561229831112,0.1302375138906075,-0.6979172181896032,,,2026-09-11,-0.3860991307682693,10.27131782945736,9.845561229831112,2026-09-11,2026-09-11T20:00:00+00:00,2026-09-12T04:00:00+08:00,2026-09-12T05:00:00+08:00,2026-09-14T08:30:00+08:00,2026-09-11,1.0,52.5,False,ok,1.80667305142308,1.80667305142308,0.9635804410131898,0.9635804410131898,0.8598836028398171,0.8598836028398171,8.50791132462254,8.50791132462254,6.13613970203668,6.13613970203668,3675.TWO,True,-5.897029025166978,-7.256850086873101,,
