ticker,target,method,n,days,accuracy,mae
2481.TW,gap,price_us,60,60,0.6666666666666666,1.9514408346309235
2481.TW,gap,price_us_peers,60,60,0.6833333333333333,1.9780222527971945
2481.TW,gap,sox_copy,60,60,0.65,2.1682471582850953
2481.TW,gap,us_only,60,60,0.6833333333333333,1.8570894786140806
2481.TW,gap,zero,60,60,0.08333333333333333,2.438540631277596
2481.TW,intraday,price,60,60,0.5166666666666667,3.519782348980051
2481.TW,intraday,price_us,60,60,0.43333333333333335,3.535301249675091
2481.TW,intraday,price_us_peers,60,60,0.43333333333333335,3.551564063100975
2481.TW,intraday,sox_copy,60,60,0.5,4.468918991859478
2481.TW,intraday,us_only,60,60,0.48333333333333334,3.6465462871123533
2481.TW,intraday,zero,60,60,0.1,3.5891127286174176
2492.TW,close_to_close,price,60,60,0.5166666666666667,5.589504601160312
2492.TW,close_to_close,price_us,60,60,0.5833333333333334,5.124681587488739
2492.TW,close_to_close,price_us_peers,60,60,0.5833333333333334,5.124681587488739
2492.TW,close_to_close,sox_copy,60,60,0.6,4.913716703254406
2492.TW,close_to_close,us_only,60,60,0.5833333333333334,5.198307243150678
2492.TW,close_to_close,zero,60,60,0.05,5.40171044260097
2492.TW,gap,price,60,60,0.48333333333333334,3.101122084675772
2492.TW,gap,price_us,60,60,0.7,2.334426494378494
2492.TW,gap,price_us_peers,60,60,0.7,2.334426494378494
2492.TW,gap,sox_copy,60,60,0.7166666666666667,2.426274140350571
2492.TW,gap,us_only,60,60,0.7,2.2569527135134817
2492.TW,gap,zero,60,60,0.05,3.016810294051284
2492.TW,intraday,price,60,60,0.5833333333333334,4.069323023274717
2492.TW,intraday,price_us,60,60,0.5333333333333333,4.120764097029242
2492.TW,intraday,price_us_peers,60,60,0.5333333333333333,4.120764097029242
2492.TW,intraday,sox_copy,60,60,0.5833333333333334,4.526033885225334
2492.TW,intraday,us_only,60,60,0.3,4.134249411579431
2492.TW,intraday,zero,60,60,0.06666666666666667,4.020648918384796
3026.TW,close_to_close,price,60,60,0.45,6.485467859885647
3026.TW,close_to_close,price_us,60,60,0.5333333333333333,5.97467658364401
3026.TW,close_to_close,price_us_peers,60,60,0.5333333333333333,5.97467658364401
3026.TW,close_to_close,sox_copy,60,60,0.5666666666666667,6.085153857204422
3026.TW,close_to_close,us_only,60,60,0.65,5.795569009748162
3026.TW,close_to_close,zero,60,60,0.05,6.125775293185965
3026.TW,gap,price,60,60,0.4666666666666667,3.4380205920748392
3026.TW,gap,price_us,60,60,0.6,2.8286879509521534
3026.TW,gap,price_us_peers,60,60,0.6,2.8286879509521534
3026.TW,gap,sox_copy,60,60,0.65,2.917960952436503
3026.TW,gap,us_only,60,60,0.6666666666666666,2.519709185497367
3026.TW,gap,zero,60,60,0.11666666666666667,3.072516670643805
3026.TW,intraday,price,60,60,0.4166666666666667,4.521814106797645
3026.TW,intraday,price_us,60,60,0.3333333333333333,4.5818315386209045
3026.TW,intraday,price_us_peers,60,60,0.3333333333333333,4.5818315386209045
3026.TW,intraday,sox_copy,60,60,0.5,5.3137165133302
3026.TW,intraday,us_only,60,60,0.35,4.58042297363363
3026.TW,intraday,zero,60,60,0.11666666666666667,4.307054274229182
3357.TWO,close_to_close,price,60,60,0.45,3.4198084097248698
3357.TWO,close_to_close,price_us,60,60,0.6166666666666667,3.272529115663113
3357.TWO,close_to_close,price_us_peers,60,60,0.6166666666666667,3.272529115663113
3357.TWO,close_to_close,sox_copy,60,60,0.5666666666666667,3.5412425215919368
3357.TWO,close_to_close,us_only,60,60,0.5,3.2897980280449968
3357.TWO,close_to_close,zero,60,60,0.1,3.3045450533567995
3357.TWO,gap,price,60,60,0.5,1.8286430404511103
3357.TWO,gap,price_us,60,60,0.6333333333333333,1.5542153453957188
3357.TWO,gap,price_us_peers,60,60,0.6333333333333333,1.5542153453957188
3357.TWO,gap,sox_copy,60,60,0.6666666666666666,2.1129475824670108
3357.TWO,gap,us_only,60,60,0.6166666666666667,1.602611590613201
3357.TWO,gap,zero,60,60,0.13333333333333333,1.8119525806099666
3357.TWO,intraday,price,60,60,0.5,2.9480902837130594
3357.TWO,intraday,price_us,60,60,0.4666666666666667,3.0348581675307327
3357.TWO,intraday,price_us_peers,60,60,0.4666666666666667,3.0348581675307327
3357.TWO,intraday,sox_copy,60,60,0.5166666666666667,4.035570131245936
3357.TWO,intraday,us_only,60,60,0.48333333333333334,2.9559264050009286
3357.TWO,intraday,zero,60,60,0.03333333333333333,2.93180167772875
3675.TWO,close_to_close,price,60,60,0.4166666666666667,4.411531889462645
3675.TWO,close_to_close,price_us,60,60,0.55,4.1966699437117665
3675.TWO,close_to_close,price_us_peers,60,60,0.5666666666666667,4.085036296860047
